"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","FXYD1","ageYOUNG",0.00111306490181539,0.207033040854279,0.0888603046458649,0.147946672750072,0.0346567935337975
"2","TPM2","ageYOUNG",0.00113273419245818,0.159742656219249,0.0633460462585298,0.111544351238889,0.0349514829654888
"2","RNF144B","ageYOUNG",0.00122711798231159,-0.165610421875333,-0.240102896179855,-0.202856659027594,0.0375257061555106
"2","DDX5","ageYOUNG",0.00123989821753595,0.253459427590005,0.105260103073361,0.179359765331683,0.0375809857969968
"2","TMEM100","ageYOUNG",0.00125761604900926,0.143777427776009,0.0758740978497821,0.109825762812896,0.0377836400689185
"2","AP1S2","ageYOUNG",0.00130944280130177,-0.0464463520787881,-0.11669401516015,-0.0815701836194689,0.0389986225605092
"2","PGAM1","ageYOUNG",0.00132454043298169,0.175241183003993,0.0826416553999149,0.128941419201954,0.0391081981289853
"2","SERPINB5","ageYOUNG",0.00134782415802402,-0.118780659940029,-0.185290112743893,-0.152035386341961,0.0394555362498484
"2","CD109","ageYOUNG",0.00138092777722148,-0.0561328075584196,-0.116817655470027,-0.0864752315142233,0.0400820138727423
"2","IRF1","ageYOUNG",0.00145690476318882,0.308661036122088,0.141466375185189,0.225063705653639,0.0419319228060647
"2","RNF187","ageYOUNG",0.00149067469478845,0.14035322625751,0.0774581791937203,0.108905702725615,0.042546340247087
"2","LARP6","ageYOUNG",0.00151333534595753,0.117258053990528,0.0438235846256475,0.0805408193080877,0.0428361451231782
"2","TPI1","ageYOUNG",0.0015810613697026,-0.101310719737208,-0.238801048705423,-0.170055884221315,0.044386354026487
"2","HTRA3","ageYOUNG",0.0016040584888984,0.106165025398952,0.0402626334714278,0.0732138294351897,0.0446658562965611
"2","GNA13","ageYOUNG",0.00162690335759471,-0.037037198185137,-0.100061592610547,-0.068549395397842,0.0449366451593699
"2","BHLHE40","ageYOUNG",0.00169496728858607,0.057492361839151,-0.072357487140493,-0.00743256265067099,0.0464421037072584
"2","COX4I1","ageYOUNG",0.0017889150407931,-0.0800971121200498,-0.215400591445922,-0.147748851782986,0.046948229579077
"2","DNAJA1","ageYOUNG",0.0017825976396965,0.293651359626812,0.135335844486463,0.214493602056637,0.046948229579077
"2","RPL37","ageYOUNG",0.00172977388488569,0.306148812229946,0.191573265104936,0.248861038667441,0.046948229579077
"2","SEPP1","ageYOUNG",0.00179568410944791,0.744624226939088,0.366027022141239,0.555325624540164,0.046948229579077
"2","SON","ageYOUNG",0.0017795884308964,0.235648923318105,0.109296871727099,0.172472897522602,0.046948229579077
"2","WASF2","ageYOUNG",0.00175453850416441,0.168716974148144,0.0748456863136135,0.121781330230879,0.046948229579077
"2","C11orf96","ageYOUNG",0.0018104159421216,0.42232944664047,0.0584112577824127,0.240370352211441,0.04697480758914
"2","C12orf75","ageYOUNG",0.00186844576741469,-0.133418401668344,-0.21964727157244,-0.176532836620392,0.0471030548300533
"2","EIF4A3","ageYOUNG",0.00189412010079749,0.299328894998886,0.139581341347749,0.219455118173318,0.0471030548300533
"2","GPRC5A","ageYOUNG",0.00194068651301448,0.112593563454929,0.0484545444853989,0.080524053970164,0.0471030548300533
"2","MYL9","ageYOUNG",0.00187931375492498,0.214553373937114,0.105497235257238,0.160025304597176,0.0471030548300533
"2","PDK4","ageYOUNG",0.00185140226240865,0.12772615999801,0.0476070579142059,0.0876666089561078,0.0471030548300533
"2","PPP1CB","ageYOUNG",0.00195288577689564,-0.0240583871970287,-0.143033147562789,-0.0835457673799089,0.0471030548300533
"2","PTMA","ageYOUNG",0.00190321512911487,-0.309111756511177,-0.42844388670034,-0.368777821605758,0.0471030548300533
"2","RPL21","ageYOUNG",0.00186068869364823,0.295918766208772,0.197529427270062,0.246724096739417,0.0471030548300533
"2","SNX21","ageYOUNG",0.00191737998747827,0.0954212779807179,0.0429473081091897,0.0691842930449538,0.0471030548300533
"2","SPON2","ageYOUNG",0.00194436209747858,0.194274086150146,0.0923250079729535,0.14329954706155,0.0471030548300533
"2","RPL35A","ageYOUNG",0.00200021547424547,0.202755240372574,0.103112800689814,0.152934020531194,0.0479072587362989
"2","KRT5","ageYOUNG",0.00206567277175368,-0.213819814885183,-0.813621742509004,-0.513720778697093,0.0491314530781691
"2","AXL","ageYOUNG",0.0021130440331432,0.266234836312591,0.115712840901089,0.19097383860684,0.0495681229768861
"2","HNRNPA2B1","ageYOUNG",0.00217615973665592,0.249628763910492,0.104327097314419,0.176977930612455,0.0495681229768861
"2","LY6D","ageYOUNG",0.00211836630472568,-0.215790989860464,-0.497641859317434,-0.356716424588949,0.0495681229768861
"2","MAP1A","ageYOUNG",0.00222875647837678,0.124781555908017,0.0579392458444973,0.0913604008762573,0.0495681229768861
"2","NEAT1","ageYOUNG",0.00217040359479584,-0.166176252880801,-0.357497449674607,-0.261836851277704,0.0495681229768861
"2","OLFML3","ageYOUNG",0.00222531448860416,0.193587573785779,0.0909942932712332,0.142290933528506,0.0495681229768861
"2","RARRES2","ageYOUNG",0.00222151520946352,0.282141558403497,0.0960229952839782,0.189082276843738,0.0495681229768861
"2","RP11-834C11.4","ageYOUNG",0.00217663097961993,0.112039279871425,0.0463923743634396,0.0792158271174322,0.0495681229768861
"2","RPL37A","ageYOUNG",0.00213665728869745,0.228514347256559,0.11805612687082,0.173285237063689,0.0495681229768861
"2","RPS24","ageYOUNG",0.00222152663815397,0.278644629506404,0.148522014193923,0.213583321850164,0.0495681229768861
